idna_subject,checker_type,destination,tested_at
bannieres.acces-contenu.com,AVAILABILITY,origin.list,2023-05-13 05:49:49.301166
oas.villagevoice.com,AVAILABILITY,origin.list,2023-05-13 05:49:49.847816
moadnet.com,AVAILABILITY,origin.list,2023-05-13 05:49:50.155508
ngs.impress.co.jp,AVAILABILITY,origin.list,2023-05-13 05:49:50.400711
qwapi.apple.com,AVAILABILITY,origin.list,2023-05-13 05:49:50.517195
leanoisgo.com,AVAILABILITY,origin.list,2023-05-13 05:49:50.704861
fonecta.leiki.com,AVAILABILITY,origin.list,2023-05-13 05:49:50.951177
oascentral.businessweek.com,AVAILABILITY,origin.list,2023-05-13 05:49:51.062038
mobilewithsms.net,AVAILABILITY,origin.list,2023-05-13 05:49:51.254481
seeq.com.invalid,AVAILABILITY,origin.list,2023-05-13 05:49:51.325555
metrics.windowsitpro.com,AVAILABILITY,origin.list,2023-05-13 05:49:51.514878
network.business.com,AVAILABILITY,origin.list,2023-05-13 05:49:51.610210
openx.blindferret.com,AVAILABILITY,origin.list,2023-05-13 05:49:51.824576
eur.a1.yimg.com,AVAILABILITY,origin.list,2023-05-13 05:49:51.886348
dnads.directnic.com,AVAILABILITY,origin.list,2023-05-13 05:49:52.124775
adnet.worldreviewer.com,AVAILABILITY,origin.list,2023-05-13 05:49:52.379346
pixel.jumptap.com,AVAILABILITY,origin.list,2023-05-13 05:49:52.450088
tracking.crunchiemedia.com,AVAILABILITY,origin.list,2023-05-13 05:49:52.680904
content.ad,AVAILABILITY,origin.list,2023-05-13 05:49:52.911719
promo1.webcams.nl,AVAILABILITY,origin.list,2023-05-13 05:49:52.934366
creatives.as4x.tmcs.net,AVAILABILITY,origin.list,2023-05-13 05:49:52.992725
promo.ulust.com,AVAILABILITY,origin.list,2023-05-13 05:49:53.436071
rythmxchange.com,AVAILABILITY,origin.list,2023-05-13 05:49:53.450974
sma.punto.net,AVAILABILITY,origin.list,2023-05-13 05:49:53.460585
suavalds.com,AVAILABILITY,origin.list,2023-05-13 05:49:53.542907
pagerank4u.eu,AVAILABILITY,origin.list,2023-05-13 05:49:54.024865
adview.ppro.de,AVAILABILITY,origin.list,2023-05-13 05:49:54.071063
stats.directnic.com,AVAILABILITY,origin.list,2023-05-13 05:49:54.130336
banner.getgo.de,AVAILABILITY,origin.list,2023-05-13 05:49:54.285036
ads.alwayson-network.com,AVAILABILITY,origin.list,2023-05-13 05:49:54.498432
adserver.hardsextube.com,AVAILABILITY,origin.list,2023-05-13 05:49:54.606057
bannerexchange.cjb.net,AVAILABILITY,origin.list,2023-05-13 05:49:54.662250
ad.yourmedia.com,AVAILABILITY,origin.list,2023-05-13 05:49:54.815652
accounts.pkr.com.invalid,AVAILABILITY,origin.list,2023-05-13 05:49:55.146476
affiliates.internationaljock.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.164646
ads.glispa.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.185306
ads.bonniercorp.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.352135
ads.penny-arcade.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.666284
ads.clearchannel.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.721883
banners.lifeserv.com,AVAILABILITY,origin.list,2023-05-13 05:49:55.880940
sexaddpro.de,AVAILABILITY,origin.list,2023-05-13 05:49:55.889861
ad.leadbolt.net,AVAILABILITY,origin.list,2023-05-13 05:49:56.196655
ads.gawker.com,AVAILABILITY,origin.list,2023-05-13 05:49:56.463614
adserver.motorpresse.de,AVAILABILITY,origin.list,2023-05-13 05:49:56.641995
theads.me,AVAILABILITY,origin.list,2023-05-13 05:49:56.721761
emonitor.takeit.cz,AVAILABILITY,origin.list,2023-05-13 05:49:56.936923
ads4.clearchannel.com,AVAILABILITY,origin.list,2023-05-13 05:49:57.004734
b.aol.com,AVAILABILITY,origin.list,2023-05-13 05:49:57.198921
ad.reunion.com,AVAILABILITY,origin.list,2023-05-13 05:49:57.258438
yoc.mobi,AVAILABILITY,origin.list,2023-05-13 05:49:57.464111
sx.trhnt.com,AVAILABILITY,origin.list,2023-05-13 05:49:57.554506
ad-check.disconnect.me,AVAILABILITY,origin.list,2023-05-13 05:49:57.690243
ads.t-online.de,AVAILABILITY,origin.list,2023-05-13 05:49:57.746782
adserver-live.yoc.mobi,AVAILABILITY,origin.list,2023-05-13 05:49:57.950682
adserver.libero.it,AVAILABILITY,origin.list,2023-05-13 05:49:57.969500
jbeet.cjt1.net,AVAILABILITY,origin.list,2023-05-13 05:49:58.086815
adi.mainichi.co.jp,AVAILABILITY,origin.list,2023-05-13 05:49:58.616069
track.gawker.com,AVAILABILITY,origin.list,2023-05-13 05:49:59.940325
affiliate.7host.com,AVAILABILITY,origin.list,2023-05-13 05:50:05.077392
banner.prestigecasino.com,AVAILABILITY,origin.list,2023-05-13 05:50:05.221335
p.adpdx.com,AVAILABILITY,origin.list,2023-05-13 05:50:05.957157
ads.ask.com,AVAILABILITY,origin.list,2023-05-13 05:50:09.916015
ads.adshareware.net,AVAILABILITY,origin.list,2023-05-13 05:50:10.508585
ads.adultswim.com,AVAILABILITY,origin.list,2023-05-13 05:50:10.525347
gbanners.hornymatches.com,AVAILABILITY,origin.list,2023-05-13 05:50:10.729363
banner.joylandcasino.com,AVAILABILITY,origin.list,2023-05-13 05:50:10.983303
adimage.asiaone.com.sg,AVAILABILITY,origin.list,2023-05-13 05:50:11.601000
