idna_subject,checker_type,destination,source,tested_at,session_id
101com.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:51.139888,e00d04bb29a96303ec606a47
180hits.de,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:51.782706,e00d04bb29a96303ec606a47
123found.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:52.198736,e00d04bb29a96303ec606a47
1x1rank.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:52.385831,e00d04bb29a96303ec606a47
180searchassistant.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:52.737537,e00d04bb29a96303ec606a47
140proof.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:52.750629,e00d04bb29a96303ec606a47
207.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:52.857176,e00d04bb29a96303ec606a47
24pm-affiliation.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:53.406314,e00d04bb29a96303ec606a47
2mdn.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:53.925904,e00d04bb29a96303ec606a47
24log.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:54.100453,e00d04bb29a96303ec606a47
2o7.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:54.447476,e00d04bb29a96303ec606a47
24log.de,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:54.463455,e00d04bb29a96303ec606a47
360yield.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:56.196840,e00d04bb29a96303ec606a47
3cinteractive.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:56.553192,e00d04bb29a96303ec606a47
4affiliate.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:57.030022,e00d04bb29a96303ec606a47
4d5.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:57.160294,e00d04bb29a96303ec606a47
4mads.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:57.887589,e00d04bb29a96303ec606a47
518ad.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:58.496640,e00d04bb29a96303ec606a47
50websads.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:22:58.616324,e00d04bb29a96303ec606a47
5thfinger.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:00.298922,e00d04bb29a96303ec606a47
101order.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:00.967886,e00d04bb29a96303ec606a47
600z.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:01.309049,e00d04bb29a96303ec606a47
777seo.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:02.268405,e00d04bb29a96303ec606a47
247media.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:02.935871,e00d04bb29a96303ec606a47
77tracking.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:04.001717,e00d04bb29a96303ec606a47
777partner.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:04.146378,e00d04bb29a96303ec606a47
7bpeople.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:04.526669,e00d04bb29a96303ec606a47
980media.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:04.656233,e00d04bb29a96303ec606a47
7search.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:04.830641,e00d04bb29a96303ec606a47
51yes.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:05.443733,e00d04bb29a96303ec606a47
a-ads.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:05.988661,e00d04bb29a96303ec606a47
a-counter.kiev.ua,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:06.525762,e00d04bb29a96303ec606a47
4info.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:07.075899,e00d04bb29a96303ec606a47
a.aproductmsg.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:07.514435,e00d04bb29a96303ec606a47
a.mktw.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:08.296280,e00d04bb29a96303ec606a47
a.ucoz.net,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:09.468073,e00d04bb29a96303ec606a47
a.ucoz.ru,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:10.686683,e00d04bb29a96303ec606a47
a.xanga.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:11.515676,e00d04bb29a96303ec606a47
a.sakh.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:11.702745,e00d04bb29a96303ec606a47
a9.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:13.492173,e00d04bb29a96303ec606a47
aaddzz.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:14.192501,e00d04bb29a96303ec606a47
aarki.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:14.269208,e00d04bb29a96303ec606a47
abc-ads.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:14.762408,e00d04bb29a96303ec606a47
adsatt.abcnews.starwave.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:15.467387,e00d04bb29a96303ec606a47
adsatt.go.starwave.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:15.479778,e00d04bb29a96303ec606a47
absoluteclickscom.com,AVAILABILITY,origin.list,origin.list,2022-12-28 05:23:15.538297,e00d04bb29a96303ec606a47
